-0.451151,-0.262133,-0.014815,0.057532,0.464948,0.408541,-0.084373,0.119840,0.302233,0.053201,-0.518170,0.138146,-0.413703,0.468289,0.410071,1.026738,-0.972302,0.343148,-0.932890,-0.608716,0.257889,0.169385,0.224054,0.059832,0.210537,-0.041644,-0.083332,-1.188896,0.112740,-0.072156,-0.162325,-0.150311,-0.165816,-1.226873,-0.650941,0.759085,0.008130,0.020888,-0.010897,0.047760,0.069972,0.023324,-0.013714,0.201247,0.228441,-0.228021,-0.734369,-0.312388,-0.355857,0.421329,0.008208,0.144632,0.959102,1.613872,-1.073890,-0.253907,0.438591,1.074579,3.799762,5.100836,3.679086,-0.493735,-0.426291,1.012600,0.985252,0.756046,2.151855,1.000000
0.111682,-0.290356,-0.620352,-0.042575,-0.082132,0.336117,0.043621,-0.392382,0.078278,0.083237,0.019855,0.354137,0.033774,-0.362329,-0.215381,-0.459015,-0.693681,0.737035,0.281842,0.704482,0.881191,0.090364,0.102833,0.204542,0.058330,0.075044,-0.490164,-1.092351,0.137082,-0.235657,0.071510,0.089145,-0.597821,-1.022987,0.997973,-0.011292,0.062622,0.024401,-0.006320,0.036944,-0.010872,-0.002138,-0.002963,-0.088453,0.101058,-0.369674,0.091020,-0.413547,-0.119432,-0.032015,-1.204429,-0.003811,0.005779,-0.699319,0.957311,-0.069333,0.309900,0.155481,0.035337,0.026123,-2.605498,-0.563347,0.907929,-1.863342,0.278390,0.436060,-0.019211,1.000000
-0.371383,-0.125237,0.078063,-0.096090,-0.535534,0.015436,-1.165621,0.285590,-0.053371,0.096177,0.461838,0.362701,-1.883101,-0.056801,0.128218,0.299713,-0.511445,-1.580652,-0.977476,1.047640,-1.013044,0.090090,-0.108772,0.177034,-0.491114,-0.234539,0.418626,-0.617042,0.148591,-0.453608,-0.465166,-0.179375,0.183282,-1.029551,0.948559,0.309593,-0.066243,0.010542,-0.000905,0.032419,-0.027245,0.033816,0.019730,0.142658,-0.019741,0.382723,-0.517342,-0.049814,-0.636065,0.432335,-0.023859,-0.210846,-0.415992,0.295794,3.083894,-0.011517,0.423032,-0.024413,-1.006341,-0.100356,-3.832420,-0.400590,-0.473328,0.020431,0.583680,0.045628,2.250782,1.000000
-0.242463,-0.271256,-0.618464,-0.404752,-0.005585,0.130299,0.044058,-0.357253,-0.032958,-0.168171,0.448962,0.328079,-0.033037,-0.093315,-0.501328,-0.210600,-1.002006,-1.582600,1.258200,0.157776,0.764391,0.092489,0.118565,0.162319,0.141618,-0.030213,-0.244582,-1.235480,-0.141004,-0.649848,-0.298187,-0.101615,-0.830401,-0.791232,0.987426,-0.157028,0.018246,0.031901,-0.023465,0.043795,0.001739,-0.021156,-0.001943,-0.114563,0.181716,-0.415886,-0.221763,-0.785244,0.012738,0.518288,-1.183557,-0.289543,-0.007128,-0.001854,-3.586200,-0.067766,-0.004726,0.587293,-0.951707,-3.934333,-3.502873,-0.168288,0.630336,0.033627,0.540568,0.460063,-1.495969,1.000000
0.169996,-0.796027,-0.086575,0.090388,-0.104754,0.026627,0.014908,0.060192,0.339476,0.048109,-0.115533,-0.048439,0.037518,-0.080084,0.326722,0.739704,0.264628,-1.349240,-1.047697,-0.252210,-0.630622,0.225724,0.408438,-0.090698,-0.063896,0.783746,0.125479,-0.889621,0.472195,-0.017431,-0.275734,0.737371,0.041812,-0.938274,-0.086530,0.988024,0.127755,0.035805,0.018121,0.048483,0.024869,0.036452,0.028113,0.140061,0.121405,0.109753,-0.838442,-0.204537,0.430251,-0.035893,0.759827,0.042184,-0.067328,1.187711,2.492786,-0.102725,-1.256690,0.116612,-0.047443,-1.568019,1.838737,0.133884,-0.755080,3.100979,0.049891,0.424151,2.320654,0.000000
0.153198,-1.145022,0.169063,0.017648,0.226075,-0.637868,0.050459,-0.091530,0.394972,0.089920,0.142983,-0.354862,0.042612,-0.337710,0.401852,0.886539,-0.854968,0.845494,-0.597176,-0.127169,-0.325440,0.187217,0.410940,0.049023,-0.029967,0.971825,0.292050,-0.308468,0.086474,-0.126710,-0.010090,0.937123,0.319139,-0.115322,-0.445693,0.894436,-0.036646,0.016827,-0.017611,0.019826,0.037665,-0.014403,0.022383,0.379871,0.034750,-0.146266,-1.142971,0.109772,1.195847,-0.717676,1.681952,-0.175213,-0.012611,2.216920,3.017451,-0.049384,-0.205836,0.078039,-0.023740,-0.641614,0.329643,-0.409004,-0.551151,0.627633,0.119298,0.452819,1.953814,0.000000
0.058999,0.168633,0.069434,0.092191,0.246812,0.387785,-0.186823,0.033347,0.303696,0.088950,-0.013380,0.387244,0.004863,0.609351,0.475595,1.048597,0.271446,0.884783,0.019067,0.925143,-1.255732,0.330621,0.010450,0.593943,-0.350784,-0.498730,0.068823,-1.093024,0.084222,-0.129797,0.113129,-0.522144,-0.077960,-1.098601,-0.873232,-0.029281,0.486424,0.024656,-0.018315,0.040126,0.067891,-0.020939,-0.033593,-0.299956,0.114131,-0.013742,0.394652,0.114598,0.414370,0.422254,-0.018490,-0.025753,0.261575,-0.076013,-3.134431,0.483828,1.328108,0.006941,1.559726,3.812741,3.544168,0.034570,-0.116809,-0.032860,0.506010,1.854376,4.268914,1.000000
-0.006807,0.064975,0.572593,-0.262477,-0.085975,0.047334,-0.167367,0.041331,-0.090179,-0.215864,0.334253,0.028468,-2.593774,0.249012,0.373993,0.849435,-0.742144,-1.310714,1.191206,0.764303,-0.654515,0.089636,0.050985,0.633218,0.253387,-0.201168,0.223180,-0.345352,-0.002845,-0.193474,-0.535227,-0.176391,0.247007,-1.228985,-0.997471,-0.004692,0.070914,0.026666,0.029110,0.105019,0.002007,0.024782,0.084503,0.059932,0.338775,-0.088806,-0.350412,-0.918771,-0.239340,0.338421,-0.798043,1.505188,1.459113,0.022853,-1.283604,0.586219,0.641551,1.473582,1.395694,4.572109,3.424758,-0.198893,-1.269630,3.440442,-0.031996,1.126503,2.291146,1.000000
-0.002623,-0.270821,-0.482407,0.096623,-0.053351,0.267455,0.043465,-0.014847,-0.270692,0.007046,0.093658,0.316526,0.031436,-0.365079,-0.187909,-0.084596,-0.859351,-1.580771,0.771385,0.515486,-1.397675,0.097753,0.115201,0.761794,0.043003,0.056949,-0.331429,-1.186876,-0.049480,-0.630834,-0.344356,0.058059,-0.432885,-1.135527,0.994642,-0.079669,0.065874,0.011556,-0.015481,0.054125,-0.026933,0.007785,0.031860,-0.079894,0.374413,-0.813055,0.616893,-0.686081,-0.156332,0.149256,-0.998243,-0.113986,-0.017459,2.002036,-3.216334,-0.039270,0.537186,0.271397,0.009109,0.027022,-2.624354,-0.205216,1.193776,0.035786,0.774246,1.287724,2.312304,1.000000
-0.426455,-0.793114,-0.618963,-0.172035,-0.533207,-0.507972,-1.689774,-0.315211,0.498123,0.095612,0.096753,0.360642,-1.991976,0.277933,0.468197,-0.168207,-0.385733,-1.581649,-0.561674,1.082320,-1.265033,0.089906,-0.122918,0.384274,-0.477264,-0.021753,0.002108,-0.746363,0.231382,-0.637744,-0.265657,0.125293,-0.547698,-0.731120,0.960034,0.279836,-0.005108,-0.018719,0.018129,0.033825,0.006968,0.003402,0.010695,-0.086648,-0.137489,-0.001039,-0.310716,0.013344,0.018746,0.352634,-0.015886,0.222836,-0.538289,-3.563236,2.183773,0.003204,0.655806,-0.013488,0.805689,2.519756,-2.584161,-0.078585,-0.041681,0.028508,0.436696,0.357448,2.250848,0.000000
